xp, yp, zp, vp, gp, command, x, y, z, v, g
-10.0,0.0,0.0,10.0,1.0,move left,-10.0,0.0,0.0,10.0,1.0
-10.0,0.0,0.0,10.0,1.0,move left slowly,-10.0,0.0,0.0,5.0,1.0
-10.0,0.0,0.0,10.0,1.0,move left quickly,-10.0,0.0,0.0,20.0,1.0
-10.0,0.0,0.0,10.0,1.0,move a little left,-5.0,0.0,0.0,10.0,1.0
-10.0,0.0,0.0,10.0,1.0,move a little left slowly,-5.0,0.0,0.0,5.0,1.0
-10.0,0.0,0.0,10.0,1.0,move a little left quickly,-5.0,0.0,0.0,20.0,1.0
-10.0,0.0,0.0,10.0,1.0,move a lot left,-20.0,0.0,0.0,10.0,1.0
-10.0,0.0,0.0,10.0,1.0,move a lot left slowly,-20.0,0.0,0.0,5.0,1.0
-10.0,0.0,0.0,10.0,1.0,move a lot left quickly,-20.0,0.0,0.0,20.0,1.0
-10.0,0.0,0.0,10.0,1.0,move a tiny bit left,-1.0,0.0,0.0,10.0,1.0
-10.0,0.0,0.0,10.0,1.0,move a tiny bit left slowly,-1.0,0.0,0.0,5.0,1.0
-10.0,0.0,0.0,10.0,1.0,move a tiny bit left quickly,-1.0,0.0,0.0,20.0,1.0
-10.0,0.0,0.0,10.0,1.0,move right,10.0,0.0,0.0,10.0,1.0
-10.0,0.0,0.0,10.0,1.0,move right slowly,10.0,0.0,0.0,5.0,1.0
-10.0,0.0,0.0,10.0,1.0,move right quickly,10.0,0.0,0.0,20.0,1.0
-10.0,0.0,0.0,10.0,1.0,move a little right,5.0,0.0,0.0,10.0,1.0
-10.0,0.0,0.0,10.0,1.0,move a little right slowly,5.0,0.0,0.0,5.0,1.0
-10.0,0.0,0.0,10.0,1.0,move a little right quickly,5.0,0.0,0.0,20.0,1.0
-10.0,0.0,0.0,10.0,1.0,move a lot right,20.0,0.0,0.0,10.0,1.0
-10.0,0.0,0.0,10.0,1.0,move a lot right slowly,20.0,0.0,0.0,5.0,1.0
-10.0,0.0,0.0,10.0,1.0,move a lot right quickly,20.0,0.0,0.0,20.0,1.0
-10.0,0.0,0.0,10.0,1.0,move a tiny bit right,1.0,0.0,0.0,10.0,1.0
-10.0,0.0,0.0,10.0,1.0,move a tiny bit right slowly,1.0,0.0,0.0,5.0,1.0
-10.0,0.0,0.0,10.0,1.0,move a tiny bit right quickly,1.0,0.0,0.0,20.0,1.0
-10.0,0.0,0.0,10.0,1.0,move forward,0.0,10.0,0.0,10.0,1.0
-10.0,0.0,0.0,10.0,1.0,move forward slowly,0.0,10.0,0.0,5.0,1.0
-10.0,0.0,0.0,10.0,1.0,move forward quickly,0.0,10.0,0.0,20.0,1.0
-10.0,0.0,0.0,10.0,1.0,move a little forward,0.0,5.0,0.0,10.0,1.0
-10.0,0.0,0.0,10.0,1.0,move a little forward slowly,0.0,5.0,0.0,5.0,1.0
-10.0,0.0,0.0,10.0,1.0,move a little forward quickly,0.0,5.0,0.0,20.0,1.0
-10.0,0.0,0.0,10.0,1.0,move a lot forward,0.0,20.0,0.0,10.0,1.0
-10.0,0.0,0.0,10.0,1.0,move a lot forward slowly,0.0,20.0,0.0,5.0,1.0
-10.0,0.0,0.0,10.0,1.0,move a lot forward quickly,0.0,20.0,0.0,20.0,1.0
-10.0,0.0,0.0,10.0,1.0,move a tiny bit forward,0.0,1.0,0.0,10.0,1.0
-10.0,0.0,0.0,10.0,1.0,move a tiny bit forward slowly,0.0,1.0,0.0,5.0,1.0
-10.0,0.0,0.0,10.0,1.0,move a tiny bit forward quickly,0.0,1.0,0.0,20.0,1.0
-10.0,0.0,0.0,10.0,1.0,move backward,0.0,-10.0,0.0,10.0,1.0
-10.0,0.0,0.0,10.0,1.0,move backward slowly,0.0,-10.0,0.0,5.0,1.0
-10.0,0.0,0.0,10.0,1.0,move backward quickly,0.0,-10.0,0.0,20.0,1.0
-10.0,0.0,0.0,10.0,1.0,move a little backward,0.0,-5.0,0.0,10.0,1.0
-10.0,0.0,0.0,10.0,1.0,move a little backward slowly,0.0,-5.0,0.0,5.0,1.0
-10.0,0.0,0.0,10.0,1.0,move a little backward quickly,0.0,-5.0,0.0,20.0,1.0
-10.0,0.0,0.0,10.0,1.0,move a lot backward,0.0,-20.0,0.0,10.0,1.0
-10.0,0.0,0.0,10.0,1.0,move a lot backward slowly,0.0,-20.0,0.0,5.0,1.0
-10.0,0.0,0.0,10.0,1.0,move a lot backward quickly,0.0,-20.0,0.0,20.0,1.0
-10.0,0.0,0.0,10.0,1.0,move a tiny bit backward,0.0,-1.0,0.0,10.0,1.0
